name,address,size,end,classification,confidence
func_00102F68,0x00102F68,0x10,0x00102F78,code,spimdisasm-explicit-size-before-first-data
func_00102F78,0x00102F78,0x10,0x00102F88,code,spimdisasm-explicit-size-before-first-data
func_00102F88,0x00102F88,0x10,0x00102F98,code,spimdisasm-explicit-size-before-first-data
func_00102F98,0x00102F98,0x28,0x00102FC0,code,spimdisasm-explicit-size-before-first-data
func_00102FC0,0x00102FC0,0x74,0x00103034,code,spimdisasm-explicit-size-before-first-data
func_00103038,0x00103038,0xA4,0x001030DC,code,spimdisasm-explicit-size-before-first-data
func_001030E0,0x001030E0,0xA8,0x00103188,code,spimdisasm-explicit-size-before-first-data
func_00103188,0x00103188,0xA8,0x00103230,code,spimdisasm-explicit-size-before-first-data
func_00103230,0x00103230,0x50,0x00103280,code,spimdisasm-explicit-size-before-first-data
func_00103280,0x00103280,0x24,0x001032A4,code,spimdisasm-explicit-size-before-first-data
func_001032A8,0x001032A8,0xB0,0x00103358,code,spimdisasm-explicit-size-before-first-data
func_00103358,0x00103358,0xC0,0x00103418,code,spimdisasm-explicit-size-before-first-data
func_00103418,0x00103418,0x68,0x00103480,code,spimdisasm-explicit-size-before-first-data
func_00103480,0x00103480,0x104,0x00103584,code,spimdisasm-explicit-size-before-first-data
func_00103588,0x00103588,0x190,0x00103718,code,spimdisasm-explicit-size-before-first-data
func_00103718,0x00103718,0x58,0x00103770,code,spimdisasm-explicit-size-before-first-data
func_00103770,0x00103770,0x44,0x001037B4,code,spimdisasm-explicit-size-before-first-data
func_001037B8,0x001037B8,0x1C,0x001037D4,code,spimdisasm-explicit-size-before-first-data
func_001037D8,0x001037D8,0x2C,0x00103804,code,spimdisasm-explicit-size-before-first-data
func_00103808,0x00103808,0x18,0x00103820,code,spimdisasm-explicit-size-before-first-data
func_00103820,0x00103820,0x48,0x00103868,code,spimdisasm-explicit-size-before-first-data
func_00103868,0x00103868,0x60,0x001038C8,code,spimdisasm-explicit-size-before-first-data
func_001038C8,0x001038C8,0x8C,0x00103954,code,spimdisasm-explicit-size-before-first-data
func_00103958,0x00103958,0x5C,0x001039B4,code,spimdisasm-explicit-size-before-first-data
func_001039C0,0x001039C0,0x10,0x001039D0,code,spimdisasm-explicit-size-before-first-data
func_001039D0,0x001039D0,0x10,0x001039E0,code,spimdisasm-explicit-size-before-first-data
